account_id;customer_id;account_number;account_type;balance_idr;created_date;status;tier
ACC00028;NBC0028;8899539467;tabungan;26299401;16/06/2023;active;silver
ACC00029;NBC0029;8826235960;tabungan;26103740;17/05/2024;active;basic
ACC00030;NBC0030;8802618402;tabungan;24480790;18/12/2023;active;basic
ACC00031;NBC0031;8887036860;tabungan;25196721;27/01/2025;active;silver
ACC00032;NBC0032;8863066360;tabungan;22289149;19/08/2024;dormant;gold
ACC00033;NBC0033;8828164098;deposito;204160091;20/06/2022;dormant;gold
ACC00034;NBC0034;8803909120;tabungan;39544466;21/12/2023;active;silver
ACC00035;NBC0035;8802520945;tabungan;49812899;25/06/2023;active;silver
ACC00036;NBC0036;8837597953;tabungan;10708541;15/02/2025;active;basic
ACC00037;NBC0037;8826009860;tabungan;7623836;13/12/2023;active;gold
ACC00038;NBC0038;8857454492;deposito;76429571;06/02/2025;active;silver
ACC00039;NBC0039;8848944538;bisnis;12269484;24/07/2024;active;silver
ACC00040;NBC0040;8880818965;tabungan;6177576;16/12/2022;dormant;silver
ACC00041;NBC0041;8883445662;tabungan;42328285;02/09/2024;active;gold
ACC00042;NBC0042;8821797056;tabungan;11365832;30/03/2024;closed;basic
ACC00043;NBC0043;8836162486;bisnis;102474919;17/10/2023;active;basic
ACC00044;NBC0044;8804726602;tabungan;2145703;11/08/2024;dormant;platinum
ACC00045;NBC0045;8815850153;tabungan;13303020;29/06/2024;active;basic
ACC00046;NBC0046;8817316715;tabungan;45794107;22/01/2022;active;silver
ACC00047;NBC0047;8858790522;tabungan;28503608;12/11/2023;active;gold
ACC00048;NBC0048;8813395479;tabungan;17257056;01/09/2024;active;basic
ACC00049;NBC0049;8864531579;bisnis;71728888;02/01/2025;active;gold
ACC00050;NBC0050;8871918986;tabungan;3751677;06/11/2023;active;silver
ACC00051;NBC0051;8846936561;tabungan;29274050;25/09/2024;active;gold
ACC00052;NBC0052;8835974876;tabungan;37260122;21/04/2023;closed;silver
ACC00053;NBC0053;8857023771;tabungan;36804429;16/02/2023;active;basic
ACC00054;NBC0054;8830192209;deposito;296016720;05/12/2024;active;silver
ACC00055;NBC0055;8873332973;deposito;198209483;03/12/2024;active;silver
ACC00056;NBC0056;8839644028;tabungan;45909339;14/12/2023;active;basic
ACC00057;NBC0057;8832676992;bisnis;36301613;24/12/2023;active;gold
ACC00058;NBC0058;8877392385;tabungan;17433367;25/01/2025;active;basic
ACC00059;NBC0059;8802320914;deposito;354881760;28/07/2023;active;silver
ACC00060;NBC0060;8816933284;tabungan;46320548;16/08/2023;active;silver
ACC00061;NBC0061;8834719982;deposito;162483072;23/11/2023;active;basic
ACC00062;NBC0062;8875515452;tabungan;40909430;30/12/2024;active;basic
ACC00063;NBC0063;8875699913;tabungan;26205618;06/08/2024;closed;basic
ACC00064;NBC0064;8810064332;tabungan;37084643;17/02/2023;active;silver
ACC00065;NBC0065;8862277773;tabungan;12468502;28/09/2024;dormant;basic
ACC00066;NBC0066;8868066470;tabungan;13773567;14/07/2024;active;basic
ACC00067;NBC0067;8803850360;deposito;435922125;02/11/2024;active;basic
ACC00068;NBC0068;8852984241;deposito;184882936;14/02/2024;active;basic
ACC00069;NBC0069;8807402740;bisnis;195901180;24/08/2024;active;silver
ACC00070;NBC0070;8867582676;tabungan;45425159;08/09/2024;active;basic
ACC00071;NBC0071;8890620036;tabungan;9342239;10/01/2024;active;silver
ACC00072;NBC0072;8856461497;deposito;107494170;24/11/2024;active;silver
ACC00073;NBC0073;8897931839;tabungan;18035903;13/10/2023;active;basic
ACC00074;NBC0074;8897984914;tabungan;47007942;29/10/2024;active;basic
ACC00075;NBC0075;8860995504;tabungan;40280901;14/02/2025;active;platinum
ACC00076;NBC0076;8832664322;deposito;325627569;03/02/2025;active;basic
ACC00077;NBC0077;8894612128;deposito;405130728;27/02/2023;active;gold
ACC00078;NBC0078;8881159485;tabungan;39407260;09/02/2025;active;silver
ACC00079;NBC0079;8800127622;deposito;127394989;30/05/2024;dormant;silver
ACC00080;NBC0080;8874225678;tabungan;13059295;09/02/2025;active;silver
ACC00081;NBC0081;8818882237;bisnis;187353435;26/06/2024;active;silver
ACC00082;NBC0082;8887058416;tabungan;35389839;02/01/2025;active;gold
ACC00083;NBC0083;8861349564;bisnis;140665331;02/06/2024;active;basic
ACC00084;NBC0084;8860586794;tabungan;31475986;08/09/2023;active;platinum
ACC00085;NBC0085;8838309723;bisnis;152801959;22/01/2024;active;basic
ACC00086;NBC0086;8810809261;deposito;217048688;04/10/2024;active;basic
ACC00087;NBC0087;8820165557;tabungan;25882627;13/07/2023;active;silver
ACC00088;NBC0088;8845786555;tabungan;46028220;10/11/2024;active;gold
ACC00089;NBC0089;8812476400;tabungan;33220402;27/04/2024;active;basic
ACC00090;NBC0090;8887586824;tabungan;3610002;10/11/2024;closed;platinum
ACC00091;NBC0091;8851665451;tabungan;45955040;11/02/2023;active;gold
ACC00092;NBC0092;8844418997;tabungan;10428473;23/07/2023;active;platinum
ACC00093;NBC0093;8823386860;tabungan;19971344;11/09/2024;active;gold
ACC00094;NBC0094;8857017036;tabungan;34497231;25/05/2024;active;silver
ACC00095;NBC0095;8894423860;tabungan;13118171;11/12/2024;active;gold
ACC00096;NBC0096;8850898309;tabungan;11733890;24/01/2023;active;silver
ACC00097;NBC0097;8813490961;tabungan;18754721;15/11/2024;dormant;gold
ACC00098;NBC0098;8897972452;bisnis;163548236;20/12/2024;active;gold
ACC00099;NBC0099;8813569480;tabungan;37361436;15/08/2023;active;silver
ACC00100;NBC0100;8807356748;tabungan;20153746;16/07/2024;active;platinum
ACC00101;NBC0101;8857394059;bisnis;4301241;28/10/2024;active;basic
ACC00102;NBC0102;8880260294;bisnis;169060638;10/01/2025;active;silver
ACC00103;NBC0103;8803158925;tabungan;18237167;16/11/2022;active;basic
ACC00104;NBC0104;8890734203;tabungan;35035835;06/01/2025;active;basic
ACC00105;NBC0105;8877748675;tabungan;6567216;11/08/2024;active;silver
ACC00106;NBC0106;8814186482;tabungan;41013755;09/09/2024;active;silver
ACC00107;NBC0107;8888295868;deposito;113161554;17/06/2023;dormant;silver
ACC00108;NBC0108;8819623326;deposito;437707701;07/11/2023;dormant;silver
ACC00109;NBC0109;8858694276;deposito;21711700;30/01/2025;dormant;basic
ACC00110;NBC0110;8883173066;tabungan;32350208;20/08/2024;closed;gold
ACC00111;NBC0111;8893151817;tabungan;12299941;06/12/2024;active;basic
ACC00112;NBC0112;8824265594;tabungan;36398001;29/04/2024;dormant;gold
ACC00113;NBC0113;8862327237;tabungan;27904508;27/05/2022;active;platinum
ACC00114;NBC0114;8898902237;tabungan;8089116;30/10/2023;dormant;basic
ACC00115;NBC0115;8800654870;deposito;369701592;06/02/2025;active;silver
ACC00116;NBC0116;8847795417;bisnis;180646716;04/11/2024;active;silver
ACC00117;NBC0117;8855398188;tabungan;28333992;20/10/2024;active;silver
ACC00118;NBC0118;8807378159;tabungan;41997085;24/10/2024;active;basic
ACC00119;NBC0119;8879089458;tabungan;4448786;18/03/2024;active;silver
ACC00120;NBC0120;8862683848;deposito;331699100;06/01/2025;dormant;basic
ACC00121;NBC0121;8863802076;tabungan;34441379;27/10/2024;active;silver
ACC00122;NBC0122;8839612190;deposito;47559668;30/08/2024;active;basic
ACC00123;NBC0123;8818812988;tabungan;42515139;16/01/2025;dormant;basic
ACC00124;NBC0124;8818207066;tabungan;43289614;06/06/2024;active;gold
ACC00125;NBC0125;8890107923;tabungan;48100864;07/02/2025;dormant;basic
ACC00126;NBC0126;8898268933;tabungan;32382560;30/01/2025;active;gold
ACC00127;NBC0127;8864970350;tabungan;18548290;20/01/2025;active;basic
ACC00128;NBC0128;8857896833;tabungan;28334251;11/01/2025;active;silver
ACC00129;NBC0129;8870773123;tabungan;22804218;01/04/2024;active;basic
ACC00130;NBC0130;8855057052;tabungan;6820955;28/04/2023;active;silver
ACC00131;NBC0131;8887993844;tabungan;43298476;23/10/2022;active;gold
ACC00132;NBC0132;8845883114;tabungan;17776979;06/01/2025;active;silver
ACC00133;NBC0133;8870123503;deposito;39301435;25/03/2024;active;gold
ACC00134;NBC0134;8871568910;deposito;220068526;25/01/2025;active;basic
ACC00135;NBC0135;8877978023;deposito;317877266;03/10/2024;active;silver
ACC00136;NBC0136;8844568446;tabungan;42969783;30/01/2025;active;basic
ACC00137;NBC0137;8840366401;tabungan;31844419;02/02/2025;active;gold
ACC00138;NBC0138;8829573783;tabungan;29091459;01/02/2025;active;gold
ACC00139;NBC0139;8897572927;tabungan;8087646;31/10/2024;active;basic
ACC00140;NBC0140;8886830291;deposito;130370860;06/08/2024;active;basic
ACC00141;NBC0141;8854233241;tabungan;22341671;17/10/2024;active;silver
ACC00142;NBC0142;8818548396;tabungan;25327246;16/10/2024;active;basic
ACC00143;NBC0143;8873446746;tabungan;26209454;28/01/2024;closed;gold
ACC00144;NBC0144;8859584174;tabungan;11957195;29/10/2023;closed;silver
ACC00145;NBC0145;8816170502;deposito;402672992;19/12/2024;active;basic
ACC00146;NBC0146;8881698141;tabungan;11212209;22/02/2023;closed;silver
ACC00147;NBC0147;8847609483;tabungan;15395893;21/09/2024;closed;basic
ACC00148;NBC0148;8874029286;bisnis;186792823;01/11/2024;active;silver
ACC00149;NBC0149;8833026509;tabungan;19468659;20/10/2024;active;silver
ACC00150;NBC0150;8821836677;tabungan;48821639;16/05/2024;active;silver
ACC00151;NBC0151;8866661025;tabungan;8362059;14/02/2025;active;gold
ACC00152;NBC0152;8842022234;tabungan;26551382;05/01/2025;active;silver
ACC00153;NBC0153;8880137683;tabungan;41285955;19/01/2025;closed;gold
ACC00154;NBC0154;8859017791;tabungan;28351222;27/07/2024;active;gold
ACC00155;NBC0155;8844614409;tabungan;22071296;19/01/2023;active;basic
ACC00156;NBC0156;8835174656;deposito;93156667;19/12/2024;active;silver
ACC00157;NBC0157;8860186372;tabungan;20713822;27/12/2023;active;silver
ACC00158;NBC0158;8819956955;tabungan;25575199;23/11/2024;active;basic
ACC00159;NBC0159;8827764149;tabungan;39200834;21/11/2023;active;silver
ACC00160;NBC0160;8838502551;tabungan;3118637;18/10/2023;active;basic
ACC00161;NBC0161;8844486722;bisnis;196084048;27/11/2024;active;gold
ACC00162;NBC0162;8839047331;deposito;291391150;21/01/2025;active;basic
ACC00163;NBC0163;8846157493;tabungan;17057801;23/01/2024;active;basic
ACC00164;NBC0164;8811497887;tabungan;10086933;14/04/2024;dormant;silver
ACC00165;NBC0165;8831204095;deposito;321563476;17/04/2024;dormant;basic
ACC00166;NBC0166;8877661830;tabungan;19253869;24/06/2023;dormant;gold
ACC00167;NBC0167;8858001873;tabungan;46966486;17/04/2024;active;silver
ACC00168;NBC0168;8839151143;tabungan;5856202;17/09/2024;active;basic
ACC00169;NBC0169;8886210781;tabungan;29167141;28/12/2024;active;silver
ACC00170;NBC0170;8810968564;tabungan;36928851;19/09/2024;active;gold
ACC00171;NBC0171;8870680269;tabungan;8748582;19/01/2025;active;platinum
ACC00172;NBC0172;8831542306;tabungan;44160036;27/02/2023;active;silver
ACC00173;NBC0173;8823028655;tabungan;2330723;24/01/2023;active;silver
ACC00174;NBC0174;8852241142;tabungan;46765799;05/09/2023;active;basic
ACC00175;NBC0175;8867015145;tabungan;1932642;21/08/2023;active;silver
ACC00176;NBC0176;8892016633;tabungan;49662267;19/01/2025;active;silver
ACC00177;NBC0177;8822240053;deposito;460698471;10/01/2023;active;basic
ACC00178;NBC0178;8822205620;deposito;471573546;26/04/2024;active;basic
ACC00179;NBC0179;8890113484;tabungan;6515995;17/06/2024;active;silver
ACC00180;NBC0180;8891332528;deposito;117246775;03/09/2023;active;basic
ACC00181;NBC0181;8832394564;tabungan;25523014;15/03/2024;active;gold
ACC00182;NBC0182;8834286449;tabungan;22464469;23/09/2022;dormant;platinum
ACC00183;NBC0183;8802498663;tabungan;29810331;07/08/2023;active;silver
ACC00184;NBC0184;8809536773;bisnis;72339419;12/01/2023;active;gold
ACC00185;NBC0185;8829735615;tabungan;18670895;11/02/2025;active;platinum
ACC00186;NBC0186;8866559147;tabungan;46294914;03/12/2023;dormant;platinum
ACC00187;NBC0187;8853809664;tabungan;26278276;03/12/2024;active;silver
ACC00188;NBC0188;8875336952;tabungan;7161623;11/03/2024;active;silver
ACC00189;NBC0189;8846653538;tabungan;19463832;16/07/2024;dormant;basic
ACC00190;NBC0190;8829853243;tabungan;39060736;21/05/2024;active;gold
ACC00191;NBC0191;8867924157;deposito;476066499;03/02/2025;active;basic
ACC00192;NBC0192;8876383543;tabungan;5589251;25/02/2024;active;silver
ACC00193;NBC0193;8868586390;tabungan;44348136;19/08/2023;active;basic
ACC00194;NBC0194;8816824979;tabungan;27813194;28/12/2024;active;silver
ACC00195;NBC0195;8899816153;tabungan;42976892;08/05/2024;dormant;gold
ACC00196;NBC0196;8811683710;tabungan;45318678;10/01/2025;active;gold
ACC00197;NBC0197;8873726072;tabungan;16531144;30/04/2023;active;basic
ACC00198;NBC0198;8848967808;tabungan;372926;05/06/2023;active;basic
ACC00199;NBC0199;8849312146;tabungan;9491077;25/11/2023;active;basic
ACC00200;NBC0200;8847625429;bisnis;53236645;14/12/2024;active;silver
ACC00201;NBC0201;8864563391;tabungan;42568814;09/07/2024;active;silver
ACC00202;NBC0202;8899403694;tabungan;30970714;30/04/2024;active;basic
ACC00203;NBC0203;8811266497;bisnis;136228242;07/02/2025;dormant;basic
ACC00204;NBC0204;8867068335;deposito;52476129;30/09/2024;active;silver
ACC00205;NBC0205;8810161259;tabungan;14909157;07/08/2024;active;basic
ACC00206;NBC0206;8863994901;deposito;19785369;28/02/2023;active;basic
ACC00207;NBC0207;8834437673;deposito;109522014;15/11/2024;active;silver
ACC00208;NBC0208;8881409841;tabungan;46113269;07/12/2023;active;gold
ACC00209;NBC0209;8816793014;deposito;396040881;03/03/2023;active;silver
ACC00210;NBC0210;8816049910;tabungan;36634326;20/12/2024;active;basic
ACC00211;NBC0211;8842028866;deposito;30533926;07/02/2025;active;silver
ACC00212;NBC0212;8880199034;tabungan;8090648;19/11/2024;active;silver
ACC00213;NBC0213;8834854842;deposito;82513132;23/05/2024;active;silver
ACC00214;NBC0214;8853160791;tabungan;4120741;12/08/2024;active;gold
ACC00215;NBC0215;8813860157;tabungan;32692323;05/02/2025;active;basic
ACC00216;NBC0216;8871321940;bisnis;27043445;15/06/2023;active;gold
ACC00217;NBC0217;8870288141;bisnis;36835090;31/12/2024;active;gold
ACC00218;NBC0218;8887452719;deposito;69011710;08/12/2023;active;silver
ACC00219;NBC0219;8878576463;tabungan;14402694;18/10/2023;active;silver
ACC00220;NBC0220;8838107491;bisnis;162956147;07/09/2022;active;basic
ACC00221;NBC0221;8819423215;deposito;358057753;22/11/2024;active;silver
ACC00222;NBC0222;8801315350;tabungan;19156158;28/10/2024;active;silver
ACC00223;NBC0223;8826168455;tabungan;27679370;03/12/2024;closed;gold
ACC00224;NBC0224;8827410254;bisnis;45387963;27/10/2024;active;silver
ACC00225;NBC0225;8879899488;tabungan;32752408;14/05/2022;active;silver
ACC00226;NBC0226;8869489930;tabungan;24184568;04/01/2025;active;basic
ACC00227;NBC0227;8819567563;tabungan;2155243;12/09/2024;active;silver
ACC00228;NBC0228;8884227172;tabungan;24636364;16/10/2023;active;silver
ACC00229;NBC0229;8825650460;tabungan;26253416;16/06/2024;active;gold
ACC00230;NBC0230;8801441306;tabungan;32071397;03/07/2022;active;silver
ACC00231;NBC0231;8824087100;tabungan;34274787;31/10/2024;active;basic
ACC00232;NBC0232;8866890417;tabungan;42926961;13/02/2025;dormant;silver
ACC00233;NBC0233;8820762381;bisnis;36893298;19/01/2025;active;silver
ACC00234;NBC0234;8822328222;tabungan;8268130;06/04/2024;active;gold
ACC00235;NBC0235;8840847528;tabungan;37416984;06/02/2023;dormant;basic
ACC00236;NBC0236;8899940041;tabungan;13025487;06/02/2025;active;basic
ACC00237;NBC0237;8847913511;tabungan;2718166;08/10/2024;active;silver
ACC00238;NBC0238;8805357228;tabungan;16627215;17/11/2024;active;silver
ACC00239;NBC0239;8806415780;tabungan;39831714;15/05/2023;active;basic
ACC00240;NBC0240;8878302801;deposito;326475593;17/12/2024;dormant;silver
ACC00241;NBC0241;8819453419;deposito;17739748;13/09/2023;active;silver
ACC00242;NBC0242;8881447867;bisnis;89866549;05/12/2022;active;basic
ACC00243;NBC0243;8828021889;tabungan;19416416;22/01/2025;active;gold
ACC00244;NBC0244;8863578037;tabungan;15083574;16/05/2023;active;silver
ACC00245;NBC0245;8812139743;tabungan;37567627;31/12/2023;active;silver
ACC00246;NBC0246;8869905585;deposito;446318255;28/12/2024;dormant;basic
ACC00247;NBC0247;8875994084;tabungan;23217702;06/01/2025;dormant;gold
ACC00248;NBC0248;8869690452;tabungan;12620666;20/03/2022;active;basic
ACC00249;NBC0249;8886061065;tabungan;34984657;14/11/2024;active;silver
ACC00250;NBC0250;8833745701;tabungan;28311131;14/11/2024;active;silver
ACC00251;NBC0251;8827613681;tabungan;26881348;02/03/2024;active;silver
ACC00252;NBC0252;8880253084;tabungan;20154875;25/09/2024;active;gold
ACC00253;NBC0253;8869929644;tabungan;13149404;18/04/2024;active;silver
ACC00254;NBC0254;8872508423;tabungan;20319496;09/08/2024;active;basic
ACC00255;NBC0255;8823480041;tabungan;9551518;12/05/2024;active;silver
ACC00256;NBC0256;8824155369;tabungan;30592200;10/11/2024;active;basic
ACC00257;NBC0257;8885574906;tabungan;7348587;24/01/2024;dormant;basic
ACC00258;NBC0258;8896024257;tabungan;11784805;26/01/2025;active;gold
ACC00259;NBC0259;8833295945;tabungan;4222773;13/02/2023;active;silver
ACC00260;NBC0260;8815828630;tabungan;12265705;31/08/2024;active;basic
ACC00261;NBC0261;8829662991;tabungan;18859218;18/10/2022;active;basic
ACC00262;NBC0262;8817429220;tabungan;29803850;05/06/2023;active;basic
ACC00263;NBC0263;8867821539;tabungan;20369258;25/11/2023;active;silver
ACC00264;NBC0264;8869370632;tabungan;11917396;17/10/2024;active;silver
ACC00265;NBC0265;8803139280;tabungan;23920375;10/01/2025;active;platinum
ACC00266;NBC0266;8850220619;deposito;167172786;20/01/2025;dormant;basic
ACC00267;NBC0267;8893335937;tabungan;3371486;24/06/2024;active;gold
ACC00268;NBC0268;8819000029;tabungan;40646861;23/12/2024;active;platinum
ACC00269;NBC0269;8861622564;tabungan;43588628;19/03/2024;active;silver
ACC00270;NBC0270;8818559407;bisnis;188408543;15/01/2025;active;silver
ACC00271;NBC0271;8830453231;tabungan;38980668;06/12/2023;active;silver
ACC00272;NBC0272;8877814564;tabungan;25941660;19/11/2024;active;basic
ACC00273;NBC0273;8843701945;tabungan;29701192;11/09/2024;closed;basic
ACC00274;NBC0274;8891177666;tabungan;13240701;11/09/2024;active;basic
ACC00275;NBC0275;8852761209;deposito;187526089;01/09/2024;active;gold
ACC00276;NBC0276;8815780619;tabungan;10845536;14/06/2024;active;silver
ACC00277;NBC0277;8823116787;tabungan;4118083;17/11/2024;active;basic
ACC00278;NBC0278;8876353223;deposito;17906596;18/11/2024;closed;silver
ACC00279;NBC0279;8818592126;deposito;372195732;28/12/2024;dormant;basic
ACC00280;NBC0280;8848563711;tabungan;42765058;08/01/2024;active;silver
ACC00281;NBC0281;8894300037;deposito;158581048;15/06/2024;active;basic
ACC00282;NBC0282;8898923132;tabungan;22692336;12/07/2023;active;basic
ACC00283;NBC0283;8859866932;bisnis;70200096;15/07/2024;active;basic
ACC00284;NBC0284;8817837659;deposito;262025748;11/10/2024;active;gold
ACC00285;NBC0285;8838201140;tabungan;4903540;15/06/2024;active;basic
ACC00286;NBC0286;8852664267;deposito;442294843;28/06/2024;active;basic
ACC00287;NBC0287;8812724553;tabungan;14886027;07/03/2024;active;platinum
ACC00288;NBC0288;8856569764;tabungan;16803875;02/07/2024;active;silver
ACC00289;NBC0289;8884962249;tabungan;35596216;20/01/2025;active;basic
ACC00290;NBC0290;8810462506;bisnis;77803792;09/01/2025;active;gold
ACC00291;NBC0291;8896568512;bisnis;155815268;25/06/2024;active;gold
ACC00292;NBC0292;8862767293;bisnis;180933677;21/08/2024;active;silver
ACC00293;NBC0293;8809793442;tabungan;49740096;26/07/2024;dormant;basic
ACC00294;NBC0294;8891465022;deposito;44164319;14/09/2023;dormant;silver
ACC00295;NBC0295;8877804579;tabungan;13245525;05/07/2024;active;platinum
ACC00296;NBC0296;8851840703;bisnis;124957696;07/05/2024;active;basic
ACC00297;NBC0297;8898214782;tabungan;15547000;08/09/2024;active;gold
ACC00298;NBC0298;8872094516;bisnis;65733970;01/02/2025;active;silver
ACC00299;NBC0299;8870636328;tabungan;32865074;07/11/2023;active;basic
ACC00300;NBC0300;8801122008;tabungan;28711093;27/10/2023;active;silver
ACC00301;NBC0301;8842648333;tabungan;19707728;13/05/2024;closed;gold
ACC00302;NBC0302;8896082896;tabungan;28477627;22/06/2024;active;basic
ACC00303;NBC0303;8836054946;tabungan;33571574;16/07/2022;active;basic
ACC00304;NBC0304;8808564901;tabungan;40324648;01/01/2023;active;silver
ACC00305;NBC0305;8849519350;tabungan;12702858;31/12/2024;dormant;silver
ACC00306;NBC0306;8811546175;tabungan;43927716;06/11/2022;dormant;silver
ACC00307;NBC0307;8808038890;tabungan;35707716;25/01/2025;active;silver
ACC00308;NBC0308;8810404315;tabungan;19282481;09/09/2024;active;gold
ACC00309;NBC0309;8885135381;tabungan;27323843;03/08/2024;dormant;basic
ACC00310;NBC0310;8837475580;tabungan;18517387;10/06/2024;active;silver
ACC00311;NBC0311;8890168564;deposito;110809202;29/03/2023;dormant;silver
ACC00312;NBC0312;8877840190;deposito;245184602;06/03/2023;active;basic
ACC00313;NBC0313;8816988371;tabungan;10486286;10/11/2024;active;silver
ACC00314;NBC0314;8815866861;tabungan;29354864;11/10/2022;active;silver
ACC00315;NBC0315;8867598332;tabungan;5816833;31/08/2024;active;silver
ACC00316;NBC0316;8870505835;deposito;227169647;24/10/2022;dormant;gold
ACC00317;NBC0317;8858195657;tabungan;12823257;22/07/2023;active;basic
ACC00318;NBC0318;8885353399;tabungan;47451293;18/08/2024;active;silver
ACC00319;NBC0319;8882426621;deposito;418639560;28/06/2024;active;gold
ACC00320;NBC0320;8858015846;tabungan;31515308;31/07/2024;active;silver
ACC00321;NBC0321;8879303028;tabungan;28806285;27/08/2024;active;gold
ACC00322;NBC0322;8827276698;bisnis;92029079;19/03/2023;active;silver
ACC00323;NBC0323;8845150252;tabungan;43542855;12/03/2023;active;basic
ACC00324;NBC0324;8846130873;tabungan;34852927;03/03/2024;active;basic
ACC00325;NBC0325;8889720738;deposito;496379803;31/05/2024;active;basic
ACC00326;NBC0326;8877771184;bisnis;192437954;21/02/2023;active;silver
ACC00327;NBC0327;8827863090;tabungan;9509236;17/01/2024;active;gold
ACC00328;NBC0328;8812102423;tabungan;678487;06/10/2023;active;silver
ACC00329;NBC0329;8873057771;deposito;163486053;23/11/2023;active;silver
ACC00330;NBC0330;8861997165;tabungan;41643310;14/02/2025;active;silver
ACC00331;NBC0331;8865667640;tabungan;47732306;05/02/2025;active;silver
ACC00332;NBC0332;8883344009;tabungan;40852237;24/12/2024;active;silver
ACC00333;NBC0333;8822426537;tabungan;47975457;01/08/2024;active;silver
ACC00334;NBC0334;8822191439;tabungan;41985527;18/11/2024;dormant;silver
ACC00335;NBC0335;8870547360;tabungan;47305745;04/11/2023;active;silver
ACC00336;NBC0336;8879115010;tabungan;7751595;07/01/2024;active;gold
ACC00337;NBC0337;8826008026;tabungan;4746805;03/08/2023;active;silver
ACC00338;NBC0338;8893475978;tabungan;23497442;06/07/2024;active;silver
ACC00339;NBC0339;8854883571;bisnis;55075100;15/08/2024;active;gold
ACC00340;NBC0340;8814967914;tabungan;40373573;22/11/2022;closed;basic
ACC00341;NBC0341;8886643203;deposito;211375272;07/06/2024;active;gold
ACC00342;NBC0342;8826652824;tabungan;6248463;28/10/2024;active;silver
ACC00343;NBC0343;8854927240;tabungan;26463407;15/07/2024;active;silver
ACC00344;NBC0344;8820860146;tabungan;2743934;31/03/2022;active;gold
ACC00345;NBC0345;8819085432;tabungan;1272259;06/08/2023;active;gold
ACC00346;NBC0346;8863033563;deposito;271023439;30/06/2023;dormant;gold
ACC00347;NBC0347;8830100090;tabungan;25694610;14/12/2024;closed;silver
ACC00348;NBC0348;8893187810;tabungan;35420962;11/02/2025;active;gold
ACC00349;NBC0349;8802835415;tabungan;20885130;13/02/2025;dormant;silver
ACC00350;NBC0350;8829093043;deposito;296926313;01/10/2024;active;basic
ACC00351;NBC0351;8866136628;tabungan;42603883;04/08/2023;active;silver
ACC00352;NBC0352;8881226815;deposito;496875758;13/03/2022;active;platinum
ACC00353;NBC0353;8874705311;bisnis;154066173;08/12/2023;dormant;silver
ACC00354;NBC0354;8883309673;tabungan;2538458;29/06/2024;dormant;basic
ACC00355;NBC0355;8898421891;tabungan;40678064;22/07/2024;dormant;basic
ACC00356;NBC0356;8869376501;tabungan;20798033;21/04/2023;active;basic
ACC00357;NBC0357;8867187762;tabungan;27315063;07/09/2024;active;basic
ACC00358;NBC0358;8883636885;tabungan;44271191;02/08/2024;active;gold
ACC00359;NBC0359;8862762922;tabungan;1749186;11/08/2022;active;silver
ACC00360;NBC0360;8867880937;tabungan;28628932;06/08/2024;active;basic
ACC00361;NBC0361;8816522898;tabungan;43290014;12/02/2024;active;silver
ACC00362;NBC0362;8874993598;tabungan;40982463;20/05/2024;active;silver
ACC00363;NBC0363;8855977726;bisnis;29000456;30/07/2024;active;gold
ACC00364;NBC0364;8876408385;tabungan;21757108;17/02/2024;active;basic
ACC00365;NBC0365;8805014171;tabungan;49898271;11/01/2025;active;silver
