customer_id;name;nik_masked;email;phone;city;province;dob;gender;kyc_status;registration_date;referral_code
NBC0027;Bella Susanto;317137******;bella.susanto593@gmail.com;81651801704;Yogyakarta;DI Yogyakarta;04/05/1993;Female;rejected;04/01/2023;
NBC0028;Yanti Yudha;357858******;yanti.yudha460@hotmail.com;85182512868;Banjarmasin;Kalimantan Selatan;17/09/1980;Female;verified;02/04/2023;
NBC0029;Ulfa Gunawan;167164******;ulfa.gunawan545@hotmail.com;82375243106;Semarang;Jawa Tengah;01/08/2002;Female;verified;02/02/2022;REF-2102
NBC0030;Rizki Halim;517196******;rizki.halim721@gmail.com;82067383028;Manado;Sulawesi Utara;23/12/1987;Male;verified;25/04/2023;
NBC0031;Vina Ramadhan;337448******;vina.ramadhan898@yahoo.com;88836440892;Surabaya;Jawa Timur;30/01/2003;Female;rejected;24/05/2024;REF-1768
NBC0032;Sinta Tanjung;167150******;sinta.tanjung714@hotmail.com;85246287334;Bandung;Jawa Barat;23/06/1981;Female;pending;06/08/2024;
NBC0033;Cindy Budiman;327359******;cindy.budiman249@outlook.com;82517518304;Bandung;Jawa Barat;02/12/1991;Female;verified;22/03/2022;
NBC0034;Galih Anwar;127136******;galih.anwar891@outlook.com;83033173936;Bandung;Jawa Barat;26/09/1985;Male;verified;21/10/2023;
NBC0035;Kevin Rahman;347143******;kevin.rahman369@hotmail.com;85175355609;Banjarmasin;Kalimantan Selatan;04/12/1984;Male;verified;26/10/2022;REF-7841
NBC0036;Krisna Mahendra;337458******;krisna.mahendra584@yahoo.com;85854777252;Balikpapan;Kalimantan Timur;12/04/1981;Male;verified;24/01/2025;REF-9882
NBC0037;Citra Budiman;317119******;citra.budiman968@gmail.com;81623120387;Jakarta;DKI Jakarta;28/09/1991;Female;verified;04/05/2022;REF-8916
NBC0038;Ayu Pratama;167180******;ayu.pratama422@gmail.com;81848408621;Bandung;Jawa Barat;28/04/1979;Female;unverified;09/12/2024;REF-4144
NBC0039;Rina Rahman;347160******;rina.rahman81@outlook.com;85793341016;Manado;Sulawesi Utara;05/01/1992;Female;verified;12/02/2024;REF-1919
NBC0040;Vivi Maulana;327173******;vivi.maulana866@hotmail.com;88591803397;Jakarta;DKI Jakarta;28/02/1987;Female;rejected;06/04/2022;
NBC0041;Sari Aditya;517194******;sari.aditya34@yahoo.com;83039261429;Surabaya;Jawa Timur;14/10/1985;Female;verified;07/03/2024;REF-9856
NBC0042;Galih Nugroho;327174******;galih.nugroho764@outlook.com;81163159996;Jakarta;DKI Jakarta;22/08/1989;Male;verified;02/03/2022;REF-8381
NBC0043;Vino Tanjung;327533******;vino.tanjung697@hotmail.com;81943114262;Surabaya;Jawa Timur;23/06/1992;Male;unverified;11/10/2023;REF-2499
NBC0044;Surya Halim;357844******;surya.halim105@yahoo.com;81267888610;Bali;Bali;08/01/1979;Male;pending;26/12/2023;REF-6315
NBC0045;Siti Hakim;327559******;siti.hakim798@gmail.com;88839826224;Semarang;Jawa Tengah;04/07/1988;Female;verified;04/07/2023;REF-2036
NBC0046;Putra Yudha;347171******;putra.yudha802@gmail.com;83437993712;Semarang;Jawa Tengah;31/08/1988;Male;verified;14/01/2022;
NBC0047;Rangga Tanjung;357866******;rangga.tanjung343@hotmail.com;88924593752;Surabaya;Jawa Timur;11/11/1992;Male;verified;16/10/2023;REF-9044
NBC0048;Putri Ramadhan;327545******;putri.ramadhan837@hotmail.com;83193982807;Yogyakarta;DI Yogyakarta;27/05/1984;Female;verified;16/06/2024;
NBC0049;Dewi Yudha;127127******;dewi.yudha649@outlook.com;82426617979;Surabaya;Jawa Timur;23/12/1992;Female;pending;30/12/2024;REF-7853
NBC0050;Wahyu Aditya;517191******;wahyu.aditya937@gmail.com;81352909656;Jakarta;DKI Jakarta;02/10/1979;Male;unverified;22/01/2022;REF-4637
NBC0051;Jaka Lestari;127157******;jaka.lestari401@hotmail.com;88982507146;Jakarta;DKI Jakarta;07/11/1978;Male;verified;26/08/2022;
NBC0052;Yuni Firmansyah;357868******;yuni.firmansyah804@yahoo.com;87757177514;Medan;Sumatera Utara;02/01/1977;Female;verified;24/08/2022;REF-6620
NBC0053;Umi Maulana;337476******;umi.maulana179@yahoo.com;83867362266;Jakarta;DKI Jakarta;23/04/1976;Female;pending;09/02/2023;REF-8037
NBC0054;Cahyo Anwar;337445******;cahyo.anwar771@gmail.com;87182553714;Surabaya;Jawa Timur;31/01/2005;Male;verified;29/09/2024;REF-6134
NBC0055;Prita Wardana;517124******;prita.wardana357@outlook.com;85924991251;Yogyakarta;DI Yogyakarta;13/09/1985;Female;verified;18/09/2023;REF-7116
NBC0056;Intan Tanjung;327586******;intan.tanjung142@hotmail.com;85278282742;Medan;Sumatera Utara;24/05/1983;Female;verified;07/10/2023;
NBC0057;Yuni Pratama;127127******;yuni.pratama200@hotmail.com;87876767721;Surabaya;Jawa Timur;12/05/2000;Female;verified;05/03/2022;
NBC0058;Rizki Iskandar;337478******;rizki.iskandar296@yahoo.com;85978819148;Surabaya;Jawa Timur;16/06/1991;Male;verified;15/01/2025;
NBC0059;Dwi Halim;167137******;dwi.halim436@gmail.com;88340745171;Bali;Bali;18/08/1985;Male;verified;06/03/2023;
NBC0060;Yuni Zulkarnain;327388******;yuni.zulkarnain143@yahoo.com;82095849825;Jakarta;DKI Jakarta;16/02/1988;Female;rejected;16/08/2023;REF-9428
NBC0061;Umi Hartono;327362******;umi.hartono941@gmail.com;83223253672;Jakarta;DKI Jakarta;25/11/2000;Female;pending;05/07/2023;REF-7146
NBC0062;Satria Setiawan;327575******;satria.setiawan768@outlook.com;88577590175;Bandung;Jawa Barat;03/11/1977;Male;verified;30/12/2024;REF-8039
NBC0063;Hesti Iskandar;357846******;hesti.iskandar346@yahoo.com;87750017012;Tangerang;Banten;18/10/1994;Female;verified;23/07/2024;REF-8009
NBC0064;Bambang Nugroho;347130******;bambang.nugroho896@outlook.com;81541520643;Jakarta;DKI Jakarta;03/04/1994;Male;verified;06/07/2022;
NBC0065;Ganesha Kusuma;327385******;ganesha.kusuma232@hotmail.com;81051627136;Yogyakarta;DI Yogyakarta;03/01/1979;Male;verified;29/07/2022;REF-7022
NBC0066;Hani Tanjung;327392******;hani.tanjung694@yahoo.com;81890927532;Jakarta;DKI Jakarta;20/06/1993;Female;verified;25/06/2024;
NBC0067;Eko Nugroho;327185******;eko.nugroho748@hotmail.com;83652341389;Jakarta;DKI Jakarta;30/11/2001;Male;unverified;07/08/2023;
NBC0068;Tania Firmansyah;337476******;tania.firmansyah622@yahoo.com;88640376137;Jakarta;DKI Jakarta;16/08/2003;Female;pending;26/05/2022;REF-1197
NBC0069;Vina Nugroho;327582******;vina.nugroho431@outlook.com;87271091043;Yogyakarta;DI Yogyakarta;14/10/1976;Female;verified;04/05/2022;
NBC0070;Rio Cahyadi;327564******;rio.cahyadi719@hotmail.com;81889241418;Jakarta;DKI Jakarta;12/02/1984;Male;verified;15/11/2022;REF-7401
NBC0071;Aisyah Kusuma;347199******;aisyah.kusuma448@yahoo.com;81316179904;Jakarta;DKI Jakarta;17/11/2004;Female;verified;26/12/2022;REF-3248
NBC0072;Jihan Darmawan;357876******;jihan.darmawan530@outlook.com;82524105648;Jakarta;DKI Jakarta;12/11/1977;Female;verified;23/06/2023;
NBC0073;Dewi Darmawan;127175******;dewi.darmawan369@gmail.com;85925241913;Makassar;Sulawesi Selatan;28/10/1997;Female;verified;06/01/2022;REF-1201
NBC0074;Ganesha Salim;327529******;ganesha.salim184@gmail.com;87635365419;Jakarta;DKI Jakarta;22/09/1991;Male;verified;02/09/2022;REF-1862
NBC0075;Jaka Wijaya;327518******;jaka.wijaya899@hotmail.com;83451870534;Jakarta;DKI Jakarta;16/04/2000;Male;unverified;15/09/2023;
NBC0076;Wahyu Darmawan;337479******;wahyu.darmawan779@yahoo.com;82060385050;Jakarta;DKI Jakarta;26/06/2004;Male;verified;10/02/2024;
NBC0077;Fitri Anwar;167140******;fitri.anwar430@hotmail.com;81241038657;Bandung;Jawa Barat;23/10/1978;Female;rejected;15/07/2022;REF-7461
NBC0078;Maulana Santoso;327594******;maulana.santoso988@yahoo.com;82445655743;Jakarta;DKI Jakarta;08/05/1978;Male;verified;20/02/2023;REF-2785
NBC0079;Iwan Halim;127150******;iwan.halim417@gmail.com;87537474112;Yogyakarta;DI Yogyakarta;10/10/2005;Male;verified;16/09/2023;
NBC0080;Bunga Anwar;357828******;bunga.anwar94@yahoo.com;83680442067;Bali;Bali;09/12/1999;Female;unverified;31/01/2025;REF-8570
NBC0081;Gilang Sugiarto;317117******;gilang.sugiarto851@yahoo.com;82365199410;Semarang;Jawa Tengah;22/11/1977;Male;verified;09/02/2023;
NBC0082;Gilang Setiawan;357825******;gilang.setiawan44@hotmail.com;81296670662;Manado;Sulawesi Utara;17/11/1990;Male;verified;16/03/2023;
NBC0083;Dedi Hidayat;317188******;dedi.hidayat635@yahoo.com;88476870146;Bali;Bali;26/02/1981;Male;verified;08/05/2024;REF-9614
NBC0084;Kevin Saputra;327555******;kevin.saputra492@hotmail.com;83985642059;Surabaya;Jawa Timur;28/10/1984;Male;verified;02/03/2022;
NBC0085;Citra Effendi;167155******;citra.effendi786@yahoo.com;82133480396;Padang;Sumatera Barat;01/12/1990;Female;pending;22/12/2022;REF-6210
NBC0086;Vivi Rahman;517113******;vivi.rahman721@outlook.com;87929378427;Surabaya;Jawa Timur;13/09/1976;Female;pending;04/07/2022;REF-4584
NBC0087;Ganesha Pratama;357888******;ganesha.pratama207@yahoo.com;83250029218;Bogor;Jawa Barat;15/05/1991;Male;pending;29/05/2022;REF-7481
NBC0088;Wulan Firmansyah;357827******;wulan.firmansyah162@hotmail.com;88752895392;Jakarta;DKI Jakarta;22/12/1991;Female;verified;21/09/2023;
NBC0089;Joko Pratama;517160******;joko.pratama872@gmail.com;82959391725;Jakarta;DKI Jakarta;28/06/1978;Male;verified;03/05/2023;REF-6234
NBC0090;Dimas Mahendra;127111******;dimas.mahendra272@yahoo.com;82154100676;Surabaya;Jawa Timur;18/06/1982;Male;unverified;27/04/2024;REF-7204
NBC0091;Yusuf Hartono;127183******;yusuf.hartono667@yahoo.com;82710405411;Semarang;Jawa Tengah;02/05/1990;Male;verified;15/12/2022;
NBC0092;Bayu Setiawan;357886******;bayu.setiawan629@hotmail.com;88062962015;Bandung;Jawa Barat;21/03/1984;Male;verified;25/01/2023;REF-9849
NBC0093;Rio Firmansyah;337422******;rio.firmansyah51@hotmail.com;87872050614;Jakarta;DKI Jakarta;11/09/2004;Male;unverified;10/09/2024;REF-1421
NBC0094;Satria Hakim;327170******;satria.hakim865@gmail.com;83677418625;Yogyakarta;DI Yogyakarta;10/02/1992;Male;verified;27/01/2024;REF-1731
NBC0095;Faisal Susanto;337444******;faisal.susanto578@gmail.com;82115869380;Jakarta;DKI Jakarta;13/05/1992;Male;unverified;06/12/2024;REF-9773
NBC0096;Gracia Wibowo;127148******;gracia.wibowo81@hotmail.com;88089899217;Semarang;Jawa Tengah;03/10/1982;Female;verified;09/12/2022;
NBC0097;Hani Wijaya;327520******;hani.wijaya700@hotmail.com;82294511686;Surabaya;Jawa Timur;06/10/1999;Female;rejected;30/10/2023;
NBC0098;Budi Budiman;327524******;budi.budiman425@yahoo.com;82999119148;Jakarta;DKI Jakarta;04/06/1990;Male;verified;21/04/2024;REF-8955
NBC0099;Gracia Wijaya;327345******;gracia.wijaya413@yahoo.com;87960653074;Jakarta;DKI Jakarta;16/09/1991;Female;pending;11/02/2022;REF-5965
NBC0100;Haris Hartono;337427******;haris.hartono308@hotmail.com;83469137367;Jakarta;DKI Jakarta;03/03/1998;Male;verified;05/02/2024;
NBC0101;Iwan Kusuma;347174******;iwan.kusuma414@yahoo.com;87902330307;Yogyakarta;DI Yogyakarta;08/04/1977;Male;pending;09/01/2024;
NBC0102;Faisal Cahyadi;327591******;faisal.cahyadi946@gmail.com;88035797279;Bandung;Jawa Barat;25/09/1999;Male;verified;18/12/2023;REF-5237
NBC0103;Vivi Setiawan;347113******;vivi.setiawan396@gmail.com;82933334680;Jakarta;DKI Jakarta;08/08/2005;Female;pending;19/01/2022;REF-3167
NBC0104;Olivia Pratama;337442******;olivia.pratama623@outlook.com;88466574374;Surabaya;Jawa Timur;18/05/2005;Female;pending;02/12/2024;
NBC0105;Eko Pratama;167194******;eko.pratama990@outlook.com;87994417154;Bandung;Jawa Barat;26/09/2003;Male;verified;28/10/2023;
NBC0106;Cahyo Firmansyah;337429******;cahyo.firmansyah530@yahoo.com;81965207446;Bandung;Jawa Barat;23/02/1993;Male;verified;06/03/2024;
NBC0107;Mira Suryadi;357838******;mira.suryadi703@hotmail.com;88584282417;Bogor;Jawa Barat;27/09/1980;Female;unverified;14/06/2023;
NBC0108;Kartika Mahendra;327138******;kartika.mahendra364@yahoo.com;88465549471;Surabaya;Jawa Timur;09/02/1996;Female;verified;20/04/2022;
NBC0109;Prita Kusuma;127134******;prita.kusuma513@gmail.com;88684602235;Jakarta;DKI Jakarta;10/05/1993;Female;verified;26/07/2024;REF-3954
NBC0110;Hesti Mahendra;327350******;hesti.mahendra650@gmail.com;81743292712;Bandung;Jawa Barat;25/07/2002;Female;verified;07/06/2024;REF-7609
NBC0111;Ganesha Tanjung;317114******;ganesha.tanjung547@yahoo.com;88505830033;Padang;Sumatera Barat;12/06/1990;Male;verified;02/10/2023;REF-7284
NBC0112;Surya Maulana;327115******;surya.maulana306@outlook.com;85898562575;Jakarta;DKI Jakarta;15/06/1983;Male;verified;04/12/2022;
NBC0113;Bella Saputra;337438******;bella.saputra745@yahoo.com;82098215064;Yogyakarta;DI Yogyakarta;27/12/1998;Female;verified;10/04/2022;REF-1785
NBC0114;Sinta Saputra;317198******;sinta.saputra119@hotmail.com;85618472304;Bandung;Jawa Barat;17/11/1993;Female;verified;26/07/2022;REF-5423
NBC0115;Vivi Nugroho;327523******;vivi.nugroho524@gmail.com;83117393483;Bandung;Jawa Barat;21/01/1991;Female;unverified;19/04/2024;REF-1645
NBC0116;Luki Effendi;357840******;luki.effendi3@gmail.com;88119721811;Jakarta;DKI Jakarta;24/06/1986;Male;verified;19/04/2023;REF-5850
NBC0117;Andi Hartono;327315******;andi.hartono873@outlook.com;83561100225;Bandung;Jawa Barat;14/01/1991;Male;verified;15/06/2024;
NBC0118;Dwi Setiawan;357853******;dwi.setiawan188@gmail.com;85674676212;Bandung;Jawa Barat;18/08/1977;Male;verified;23/11/2022;REF-8908
NBC0119;Umi Halim;327388******;umi.halim389@outlook.com;87027716701;Jakarta;DKI Jakarta;26/09/1986;Female;unverified;06/10/2023;REF-9598
NBC0120;Mira Lestari;357876******;mira.lestari536@gmail.com;85375628900;Jakarta;DKI Jakarta;11/11/2003;Female;rejected;18/11/2022;REF-8688
NBC0121;Jihan Kusuma;127151******;jihan.kusuma247@outlook.com;83083866317;Jakarta;DKI Jakarta;04/12/1994;Female;verified;06/07/2024;REF-9166
NBC0122;Fajar Darmawan;317123******;fajar.darmawan414@hotmail.com;81880199488;Medan;Sumatera Utara;12/04/1984;Male;unverified;23/07/2024;
NBC0123;Andi Lestari;127152******;andi.lestari574@hotmail.com;88571130554;Jakarta;DKI Jakarta;27/07/1999;Male;verified;05/12/2024;REF-2741
NBC0124;Iwan Darmawan;327362******;iwan.darmawan110@outlook.com;87331637351;Medan;Sumatera Utara;04/08/1993;Male;verified;06/04/2022;
NBC0125;Novi Sugiarto;127168******;novi.sugiarto675@yahoo.com;85080869782;Jakarta;DKI Jakarta;14/12/2000;Female;verified;22/12/2022;
NBC0126;Yusuf Ramadhan;167159******;yusuf.ramadhan429@yahoo.com;83654722698;Semarang;Jawa Tengah;29/05/1988;Male;verified;26/01/2025;
NBC0127;Lia Anwar;337436******;lia.anwar640@outlook.com;88522885158;Semarang;Jawa Tengah;19/07/1996;Female;verified;04/05/2024;REF-9747
NBC0128;Bagas Pratama;167123******;bagas.pratama26@hotmail.com;82003424420;Malang;Jawa Timur;23/12/2005;Male;rejected;28/08/2023;REF-9866
NBC0129;Dedi Hartono;517196******;dedi.hartono758@yahoo.com;88863840666;Yogyakarta;DI Yogyakarta;25/09/2005;Male;verified;03/10/2023;
NBC0130;Endra Susanto;337489******;endra.susanto890@hotmail.com;82598933472;Jakarta;DKI Jakarta;15/08/2005;Male;verified;02/06/2022;REF-3847
NBC0131;Gita Tanjung;317164******;gita.tanjung286@outlook.com;82294057202;Yogyakarta;DI Yogyakarta;21/06/1989;Female;unverified;15/04/2022;
NBC0132;Tania Firmansyah;127183******;tania.firmansyah564@outlook.com;81583281826;Surabaya;Jawa Timur;12/05/1999;Female;pending;04/01/2025;REF-6724
NBC0133;Luki Mahendra;357856******;luki.mahendra301@yahoo.com;87878015739;Semarang;Jawa Tengah;11/11/2002;Male;unverified;15/05/2023;
NBC0134;Vina Tanjung;327159******;vina.tanjung263@outlook.com;81858877043;Medan;Sumatera Utara;15/05/1989;Female;verified;18/11/2024;REF-2572
NBC0135;Hendra Aditya;167110******;hendra.aditya642@gmail.com;82361386120;Jakarta;DKI Jakarta;07/08/1995;Male;verified;11/11/2023;REF-2200
NBC0136;Oka Kusuma;517139******;oka.kusuma933@outlook.com;85676650618;Jakarta;DKI Jakarta;07/04/1975;Male;verified;10/05/2022;
NBC0137;Vivi Kusuma;357874******;vivi.kusuma109@outlook.com;88491476607;Bandung;Jawa Barat;05/01/1982;Female;verified;28/12/2024;REF-7406
NBC0138;Kirana Hakim;327348******;kirana.hakim694@outlook.com;81882100996;Jakarta;DKI Jakarta;04/02/1999;Female;unverified;26/01/2025;
NBC0139;Endra Rahman;337462******;endra.rahman928@yahoo.com;82239431290;Palembang;Sumatera Selatan;15/08/1999;Male;verified;02/08/2024;REF-2198
NBC0140;Bayu Susanto;327135******;bayu.susanto744@hotmail.com;83523149135;Jakarta;DKI Jakarta;17/10/1996;Male;rejected;11/07/2024;REF-6008
NBC0141;Indah Salim;357864******;indah.salim173@gmail.com;83336452577;Jakarta;DKI Jakarta;23/12/1994;Female;pending;05/01/2024;
NBC0142;Eko Permana;517120******;eko.permana862@outlook.com;82834110809;Yogyakarta;DI Yogyakarta;19/12/2000;Male;verified;09/04/2024;
NBC0143;Rizki Susanto;167179******;rizki.susanto484@yahoo.com;83639427881;Bandung;Jawa Barat;18/10/1992;Male;verified;16/01/2024;REF-4913
NBC0144;Prita Maulana;167127******;prita.maulana457@yahoo.com;82992750373;Jakarta;DKI Jakarta;26/10/1977;Female;unverified;26/06/2023;REF-1701
NBC0145;Jessica Salim;327570******;jessica.salim940@hotmail.com;81051844989;Medan;Sumatera Utara;19/10/1982;Female;verified;11/02/2024;REF-6985
NBC0146;Dewi Budiman;347158******;dewi.budiman997@yahoo.com;87655779082;Jakarta;DKI Jakarta;25/09/1994;Female;verified;06/12/2022;REF-9430
NBC0147;Maya Hidayat;327330******;maya.hidayat371@gmail.com;88365177739;Bali;Bali;26/03/1982;Female;verified;21/04/2024;REF-1706
NBC0148;Naufal Maulana;327390******;naufal.maulana525@gmail.com;87202428699;Surabaya;Jawa Timur;08/08/2003;Male;verified;08/02/2022;
NBC0149;Tika Setiawan;337467******;tika.setiawan622@hotmail.com;85236929298;Palembang;Sumatera Selatan;12/11/1986;Female;verified;10/12/2022;
NBC0150;Faisal Kusuma;337458******;faisal.kusuma395@yahoo.com;81038862912;Jakarta;DKI Jakarta;06/05/1996;Male;verified;21/03/2022;
NBC0151;Galih Sugiarto;327171******;galih.sugiarto676@yahoo.com;87806865086;Jakarta;DKI Jakarta;17/04/1985;Male;verified;14/09/2024;
NBC0152;Naufal Hartono;327527******;naufal.hartono261@hotmail.com;82149864300;Jakarta;DKI Jakarta;04/12/2000;Male;pending;06/12/2024;REF-1117
NBC0153;Luki Ramadhan;327556******;luki.ramadhan110@yahoo.com;85944869594;Surabaya;Jawa Timur;13/07/2005;Male;verified;24/03/2024;
NBC0154;Lukman Effendi;327357******;lukman.effendi573@hotmail.com;83495621372;Bandung;Jawa Barat;01/07/1979;Male;verified;16/03/2023;REF-6544
NBC0155;Prita Santoso;327359******;prita.santoso988@gmail.com;81279611435;Palembang;Sumatera Selatan;04/08/1978;Female;verified;19/03/2022;
NBC0156;Bella Budiman;347186******;bella.budiman59@yahoo.com;88770384309;Jakarta;DKI Jakarta;25/11/1997;Female;verified;22/11/2024;REF-3776
NBC0157;Zahra Wibowo;317130******;zahra.wibowo89@outlook.com;85566938011;Semarang;Jawa Tengah;27/08/1999;Female;verified;06/08/2023;
NBC0158;Novi Rahman;357845******;novi.rahman232@yahoo.com;85690426818;Balikpapan;Kalimantan Timur;31/03/1978;Female;verified;27/10/2024;REF-2917
NBC0159;Rina Aditya;517142******;rina.aditya711@hotmail.com;85973577907;Semarang;Jawa Tengah;19/03/1980;Female;verified;13/06/2023;REF-4610
NBC0160;Nadia Ramadhan;327555******;nadia.ramadhan529@gmail.com;88434165182;Palembang;Sumatera Selatan;17/05/1996;Female;verified;05/10/2023;REF-5408
NBC0161;Endra Suryadi;127135******;endra.suryadi241@yahoo.com;83333395211;Jakarta;DKI Jakarta;09/07/1978;Male;verified;05/10/2024;REF-9871
NBC0162;Gracia Salim;517150******;gracia.salim505@outlook.com;85284639208;Surabaya;Jawa Timur;25/12/1993;Female;verified;06/09/2024;
NBC0163;Vino Wardana;327368******;vino.wardana124@hotmail.com;83003691559;Jakarta;DKI Jakarta;25/08/1986;Male;verified;19/01/2023;REF-4885
NBC0164;Rangga Mahendra;357833******;rangga.mahendra511@hotmail.com;82655647292;Jakarta;DKI Jakarta;31/10/2000;Male;verified;14/04/2023;
NBC0165;Putri Zulkarnain;327535******;putri.zulkarnain150@yahoo.com;85026728857;Bandung;Jawa Barat;16/06/1988;Female;verified;29/05/2023;REF-1781
NBC0166;Bambang Maulana;317137******;bambang.maulana834@outlook.com;85175455884;Medan;Sumatera Utara;09/06/1990;Male;verified;10/02/2022;REF-6752
NBC0167;Olivia Suryadi;517183******;olivia.suryadi666@yahoo.com;83558771694;Bandung;Jawa Barat;21/10/1995;Female;verified;24/10/2022;
NBC0168;Wulan Yudha;517183******;wulan.yudha415@gmail.com;81253554496;Bandung;Jawa Barat;03/03/1987;Female;verified;30/06/2024;
NBC0169;Zulfa Budiman;127162******;zulfa.budiman172@yahoo.com;81234132611;Jakarta;DKI Jakarta;11/11/1977;Female;pending;27/08/2024;REF-1431
NBC0170;Jessica Setiawan;327143******;jessica.setiawan633@yahoo.com;81643347228;Semarang;Jawa Tengah;27/08/1982;Female;verified;28/02/2022;REF-6846
NBC0171;Vina Effendi;127179******;vina.effendi958@outlook.com;87728299796;Surabaya;Jawa Timur;25/06/1998;Female;rejected;29/12/2024;REF-6688
NBC0172;Made Setiawan;127149******;made.setiawan375@hotmail.com;83240082547;Pontianak;Kalimantan Barat;02/01/1999;Male;verified;18/01/2022;REF-9059
NBC0173;Gracia Firmansyah;317165******;gracia.firmansyah818@outlook.com;87308536866;Jakarta;DKI Jakarta;18/03/1986;Female;pending;01/12/2022;
NBC0174;Anita Lestari;347120******;anita.lestari433@yahoo.com;87944846312;Manado;Sulawesi Utara;16/02/1981;Female;verified;17/08/2023;REF-8460
NBC0175;Sari Darmawan;337451******;sari.darmawan20@yahoo.com;81802144270;Jakarta;DKI Jakarta;11/06/1985;Female;verified;04/07/2022;REF-9086
NBC0176;Reza Firmansyah;127157******;reza.firmansyah475@gmail.com;83120461872;Jakarta;DKI Jakarta;15/08/1983;Male;pending;28/05/2023;
NBC0177;Gita Wibowo;327566******;gita.wibowo254@gmail.com;82718376452;Surabaya;Jawa Timur;23/03/2003;Female;unverified;28/03/2022;
